#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-15.95287477,-0.0006051791362213319,-0.0001729083246346663
-15.94867554,-0.0006051791362213319,-0.0001729083246346663
-15.94447631,-0.0006051791362213319,-0.0001729083246346663
-15.94027708,-0.0006051791362213319,-0.0001729083246346663
-15.93607785,-0.0006051791362213319,-0.0001729083246346663
-15.93187862,-0.0006051791362213319,-0.0001729083246346663
-15.92767939,-0.0006051791362213319,-0.0001729083246346663
-15.92348016,-0.0006051791362213319,-0.0001729083246346663
-15.91928093,-0.0006051791362213319,-0.0001729083246346663
-15.9150817,-0.0006051791362213319,-0.0001729083246346663
-15.91088247,-0.0006051791362213319,-0.0001729083246346663
-15.90668324,-0.0006051791362213319,-0.0001729083246346663
-15.90248401,-0.0006051791362213319,-0.0001729083246346663
-15.89828478,-0.0006051791362213319,-0.0001729083246346663
-15.89408555,-0.0006051791362213319,-0.0001729083246346663
-15.88988632,-0.0006051791362213319,-0.0001729083246346663
-15.88568709,-0.0006051791362213319,-0.0001729083246346663
-15.88148786,-0.0006051791362213319,-0.0001729083246346663
-15.87728863,-0.0006051791362213319,-0.0001729083246346663
-15.8730894,-0.0006051791362213319,-0.0001729083246346663
-15.86889017,-0.0006051791362213319,-0.0001729083246346663
-15.86469094,-0.0006051791362213319,-0.0001729083246346663
-15.86049171,-0.0006051791362213319,-0.0001729083246346663
-15.85629248,-0.0009432307040044588,-0.0002694944868584168
-15.85209325,-0.0009432307040044588,-0.0002694944868584168
-15.84789402,-0.0009432307040044588,-0.0002694944868584168
-15.84369479,-0.0006051791362213319,-0.0001729083246346663
-15.83949556,-0.0006051791362213319,-0.0001729083246346663
-15.83529633,-0.0006051791362213319,-0.0001729083246346663
-15.8310971,-0.0009432307040044588,-0.0002694944868584168
-15.82689787,-0.0006051791362213319,-0.0001729083246346663
-15.82269864,-0.0006051791362213319,-0.0001729083246346663
-15.81849941,-0.0006051791362213319,-0.0001729083246346663
-15.81430018,-0.0006051791362213319,-0.0001729083246346663
-15.81010095,-0.0006051791362213319,-0.0001729083246346663
-15.80590172,-0.0009432307040044588,-0.0002694944868584168
-15.80170249,-0.0006051791362213319,-0.0001729083246346663
-15.79750326,-0.0006051791362213319,-0.0001729083246346663
-15.79330403,-0.0009432307040044588,-0.0002694944868584168
-15.7891048,-0.0009432307040044588,-0.0002694944868584168
-15.78490557,-0.0006051791362213319,-0.0001729083246346663
-15.78070634,-0.0006051791362213319,-0.0001729083246346663
-15.77650711,-0.0006051791362213319,-0.0001729083246346663
-15.77230788,-0.0006051791362213319,-0.0001729083246346663
-15.76810865,-0.0006051791362213319,-0.0001729083246346663
-15.76390942,-0.0006051791362213319,-0.0001729083246346663
-15.75971019,-0.0006051791362213319,-0.0001729083246346663
-15.75551096,-0.0006051791362213319,-0.0001729083246346663
-15.75131173,-0.0006051791362213319,-0.0001729083246346663
-15.7471125,-0.0006051791362213319,-0.0001729083246346663
-15.74291327,-0.0006051791362213319,-0.0001729083246346663
-15.73871404,-0.0006051791362213319,-0.0001729083246346663
-15.73451481,-0.0006051791362213319,-0.0001729083246346663
-15.73031558,-0.0006051791362213319,-0.0001729083246346663
-15.72611635,-0.0006051791362213319,-0.0001729083246346663
-15.72191712,-0.0006051791362213319,-0.0001729083246346663
-15.71771789,-0.0006051791362213319,-0.0001729083246346663
-15.71351866,-0.0006051791362213319,-0.0001729083246346663
-15.70931943,-0.0006051791362213319,-0.0001729083246346663
-15.7051202,-0.0006051791362213319,-0.0001729083246346663
-15.70092097,-0.0006051791362213319,-0.0001729083246346663
-15.69672174,-0.0006051791362213319,-0.0001729083246346663
-15.69252251,-0.0009432307040044588,-0.0002694944868584168
-15.68832328,-0.0006051791362213319,-0.0001729083246346663
-15.68412405,-0.0006051791362213319,-0.0001729083246346663
-15.67992482,-0.0006051791362213319,-0.0001729083246346663
-15.67572559,-0.0006051791362213319,-0.0001729083246346663
-15.67152636,-0.0006051791362213319,-0.0001729083246346663
-15.66732713,-0.0006051791362213319,-0.0001729083246346663
-15.6631279,-0.0006051791362213319,-0.0001729083246346663
-15.65892867,-0.0006051791362213319,-0.0001729083246346663
-15.65472944,-0.0006051791362213319,-0.0001729083246346663
-15.65053021,-0.0006051791362213319,-0.0001729083246346663
-15.64633098,-0.0006051791362213319,-0.0001729083246346663
-15.64213175,-0.0006051791362213319,-0.0001729083246346663
-15.63793252,-0.0006051791362213319,-0.0001729083246346663
-15.63373329,-0.0006051791362213319,-0.0001729083246346663
-15.62953406,-0.0006051791362213319,-0.0001729083246346663
-15.62533483,-0.0006051791362213319,-0.0001729083246346663
-15.6211356,-0.0006051791362213319,-0.0001729083246346663
-15.61693637,-0.0006051791362213319,-0.0001729083246346663
-15.61273714,-0.0006051791362213319,-0.0001729083246346663
-15.60853791,-0.0006051791362213319,-0.0001729083246346663
-15.60433868,-0.0006051791362213319,-0.0001729083246346663
-15.60013945,-0.0009432307040044588,-0.0002694944868584168
-15.59594022,-0.0009432307040044588,-0.0002694944868584168
-15.59174099,-0.0006051791362213319,-0.0001729083246346663
-15.58754176,-0.0006051791362213319,-0.0001729083246346663
